#Transcript position	Transcript coverage profile
0.0	2.463162603901423
1.0	7.9995859410990455
2.0	12.288334073939204
3.0	16.556409339221275
4.0	19.05571431157265
5.0	21.793713807631644
6.0	25.893734364611518
7.0	28.265660852276227
8.0	29.779572716423125
9.0	30.242024764157826
10.0	30.111748079987265
11.0	29.923168552067516
12.0	32.570612979652196
13.0	33.922439404581745
14.0	33.85032490535396
15.0	32.899709969980016
16.0	30.279909705695356
17.0	29.28550558311802
18.0	30.798657684918265
19.0	31.45584666253167
20.0	31.206303605863962
21.0	30.523795917065662
22.0	29.692502980085642
23.0	28.300636909321813
24.0	27.62950203069663
25.0	27.31628217860338
26.0	27.453163196465418
27.0	26.749923737312553
28.0	28.19639892589146
29.0	29.251701202854015
30.0	31.293705446755418
31.0	30.710523906515068
32.0	32.29312584487922
33.0	33.55886968937664
34.0	34.617500531094734
35.0	34.006454181320585
36.0	34.252110798682544
37.0	34.83661549315377
38.0	34.13880553637745
39.0	31.989416564049964
40.0	32.04089044314972
41.0	31.282049860552508
42.0	30.81310333398731
43.0	29.932805133124617
44.0	28.75065599412483
45.0	28.78093539472202
46.0	29.484313797537734
47.0	29.32792470020272
48.0	28.02226843870706
49.0	27.589666414348528
50.0	28.95728250214607
51.0	29.831138828666976
52.0	31.744047048986697
53.0	31.64346573132677
54.0	31.67688397232439
55.0	30.671580050031395
56.0	31.05784555102845
57.0	30.71548826635847
58.0	29.847818830621275
59.0	28.810416940344098
60.0	29.848924009737942
61.0	29.802408087555794
62.0	29.484241528609612
63.0	29.355541115797863
64.0	30.526445429260264
65.0	30.403512351328732
66.0	31.747679848259903
67.0	30.800692531528455
68.0	31.103526685068964
69.0	30.48724921270181
70.0	29.927116686210944
71.0	30.30697392655562
72.0	31.550876685682017
73.0	31.550151178282864
74.0	31.940304175411065
75.0	32.498010500242835
76.0	32.093840083404785
77.0	30.60069638373018
78.0	30.52698465151764
79.0	31.871816978661002
80.0	32.59548237571799
81.0	31.098974375312967
82.0	30.540885249302608
83.0	30.734109490244226
84.0	28.23660252700649
85.0	26.97567111137867
86.0	26.392360482667222
87.0	25.76897888154039
88.0	24.218948872650735
89.0	21.427323827957505
90.0	19.3220333967221
91.0	18.134842694905092
92.0	14.785757033976015
93.0	10.139731440191198
94.0	8.397412888723313
95.0	6.775960583492555
96.0	5.993910014226742
97.0	3.8554996264274917
98.0	1.853983511766875
99.0	0.5145970129633037
