UniqueCount	AmbigCount
1	1
0	1
4	0
1	0
6	1
1	0
0	0
0	1
0	0
0	0
1	0
8	9
29	2
15	2
54	3
0	0
24	2
28	0
0	0
54	6
1	0
6	4
129	9
60	4
37	3
23	1
0	0
28	1
6	0
0	1
4	0
57	1
67	4
0	0
146	0
65	5
45	4
17	0
6383	12
0	5
0	0
5	1
61	4
483	17
0	0
3	2
17	4
12	5
14	6
0	1
43	7
13	0
181	11
9	4
11	0
11	1
168	9
1	1
32	1
55	8
324	6
37	1
104	2
8	0
0	2
111	12
1	1
118	7
0	1
0	0
160	11
12	3
20	0
19	3
232	4
24	6
13	2
15	1
18	1
56	2
2	3
6604	44
2	0
817	6
8	0
35	8
72	7
61	2
78	3
17	2
67	1
19	2
17257	35
6092	18
0	0
64	2
65	1
16	1
38	4
0	4
0	0
1	0
0	0
0	0
34	1
15	1
1	0
0	0
15	2
13	1
4	3
0	0
112	4
0	0
6	13
0	2
0	0
0	0
0	1
0	0
7	1
9	6
0	0
0	0
