#Transcript position	Transcript coverage profile
0.0	12.706429936847345
1.0	34.44306408468933
2.0	50.139861203549906
3.0	61.93735416939391
4.0	71.76265122698288
5.0	82.41780451133003
6.0	93.00025976639941
7.0	97.33499408355564
8.0	104.07931731650531
9.0	109.04384894308085
10.0	106.48240338913507
11.0	106.15487950831785
12.0	113.19301313406356
13.0	116.48169774118124
14.0	120.83485481116023
15.0	118.91840598873291
16.0	110.0073847146792
17.0	105.88800330589632
18.0	105.00374384176305
19.0	101.51164128293783
20.0	100.27636991146159
21.0	94.33737822196642
22.0	90.94236140620754
23.0	92.08918532355464
24.0	93.39706868005787
25.0	94.4077634844753
26.0	92.930651107692
27.0	89.56018178110419
28.0	95.76419766074594
29.0	97.9155420795955
30.0	101.67668181168456
31.0	99.11743029877184
32.0	103.85859288382791
33.0	108.82036428008809
34.0	113.44490646261684
35.0	110.65114300223155
36.0	106.56337318579791
37.0	110.97831616894626
38.0	113.15905204932777
39.0	110.81192377040566
40.0	110.09344574132189
41.0	108.77553500763791
42.0	109.68770667365656
43.0	109.1138233692241
44.0	108.62061391297028
45.0	108.57767537269251
46.0	109.81521270438809
47.0	109.99178715112205
48.0	105.92269032773586
49.0	103.1018559610823
50.0	106.59847360564983
51.0	110.10129047968927
52.0	115.62478313338374
53.0	117.03157005833717
54.0	116.88551732288312
55.0	110.40981373587965
56.0	109.55205414154857
57.0	108.27846522329176
58.0	106.84552703361102
59.0	102.49963454828297
60.0	105.5775319075635
61.0	103.58475306262854
62.0	103.9777159527394
63.0	105.49798179696876
64.0	107.30775017580243
65.0	107.80723125915765
66.0	112.68733459831695
67.0	109.44362897923077
68.0	109.68074628427075
69.0	110.75072743961731
70.0	106.84817614517107
71.0	106.34021189188508
72.0	106.61747216446265
73.0	108.3166239534069
74.0	112.06412659526384
75.0	115.1710512879543
76.0	109.07952962775948
77.0	102.90469307047178
78.0	100.52096307204619
79.0	102.58596298260359
80.0	104.96635292609875
81.0	100.1470836889091
82.0	97.69463187120398
83.0	98.31358261856822
84.0	92.62555059419284
85.0	86.49895709753768
86.0	84.88313708461901
87.0	84.90029953194012
88.0	80.46976594249128
89.0	73.43293878849603
90.0	65.88666710905991
91.0	60.20520034311478
92.0	48.500149964779766
93.0	35.290338133273394
94.0	28.42280160527032
95.0	25.466864257191993
96.0	24.395565217114342
97.0	18.32067041600213
98.0	9.202890301719707
99.0	2.3410568912492926
