gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
HRA1	HRA1	0	1	2	0	0
snR18	snR18	3	8	4	8	8
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	5	22.861	1	0
tS(AGA)A	tS(AGA)A	1	0	0	0	0
YAL001C	TFC3	55	74.591	119.757	60	30
YAL002W	VPS8	36	37.457	84.336	63	25
YAL003W	EFB1	632	821.037	1700.7	1115	704
YAL004W	YAL004W	1	2	1	0	1
YAL005C	SSA1	6178	6626.491	13909.51	8221	4280
YAL007C	ERP2	46	56.863	135	61	44
YAL008W	FUN14	14	18.591	25.998	10	3
YAL009W	SPO7	14	15.003	20.494	9	5
YAL010C	MDM10	11	13.999	37	30	10
YAL011W	SWC3	10	26.731	37.191	19	17
YAL012W	CYS3	247	234	538	385	230
YAL013W	DEP1	8	20.264	36	21	10
YAL014C	SYN8	16	20	45.047	28	17
YAL015C	NTG1	12	12.011	28.005	8	6
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	148	166.427	331	194	104
YAL017W	PSK1	100	120.387	216.823	101	60
YAL018C	LDS1	0	1.02	4	0	0
YAL019W	FUN30	101	114.045	243.373	186	84
YAL019W-A	YAL019W-A	0	1.991	0	0	0
YAL020C	ATS1	12	8	18	12	2
YAL021C	CCR4	105	104.001	210.408	136	81
YAL022C	FUN26	42	37.005	87	54	27
YAL023C	PMT2	302	326.105	661	431	244
YAL024C	LTE1	49	56.728	101.212	69	46
YAL025C	MAK16	19	32	56	50	21
YAL026C	DRS2	122	172.154	330.675	180.41	123.638
YAL026C-A	YAL026C-A	12	11.952	20.229	14.59	5.362
YAL027W	SAW1	10	11	20	5	2
YAL028W	FRT2	9	10.001	19	4	4
YAL029C	MYO4	178	185.527	364.414	241	139
YAL030W	SNC1	14	13	40.25	15	8
YAL031C	GIP4	38	46.39	75.456	36	15
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	14	15.412	37	18	13
YAL033W	POP5	13	13.999	29.996	18	7
YAL034C	FUN19	16	17.757	44.116	11	6
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	8	4.003	26.011	5	6
YAL035W	FUN12	409	486.443	878.013	760	390
YAL036C	RBG1	49	61.036	148.002	82	48
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	1	1.016	3	0	0
YAL037W	YAL037W	4	5.097	10.005	4	1
YAL038W	CDC19	5710	6389.305	13478.871	10312	6339
YAL039C	CYC3	9	17	39.307	12	5
YAL040C	CLN3	34	46.997	94.982	50	36
YAL041W	CDC24	61	66.937	142.974	89	50
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	141	146	291	168	102
YAL043C	PTA1	63	67.799	135.002	77	44
YAL044C	GCV3	33	58	123	47	25
YAL044W-A	YAL044W-A	5	4	14	7	3
YAL045C	YAL045C	0	0	1	0	0
YAL046C	AIM1	2	6	8.795	8	6
YAL047C	SPC72	20	28.016	46	19	14
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	18	23.057	47	26	10
YAL049C	AIM2	26	37.008	66	34	12
YAL051W	OAF1	38	63.059	119.001	81	39
YAL053W	FLC2	116	130.73	263.93	133	68
YAL054C	ACS1	3	6.001	15.995	5	1
YAL055W	PEX22	6	1	5	1	2
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	61	54.707	135.018	72	38
YAL058W	CNE1	23	28	49	39	27
YAL059C-A	YAL059C-A	0	0	0.693	0	0
YAL059W	ECM1	17	24.785	43.999	33	20
YAL060W	BDH1	49	56.972	116	43	29
YAL061W	BDH2	30	15.002	83	9	5
YAL062W	GDH3	5	29.016	50.921	13	4
YAL063C	FLO9	4.645	10.78	14.355	4.535	1.11
YAL063C-A	YAL063C-A	0	1	2.614	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	2	0	0
YAL064W-B	YAL064W-B	1	0	1	1	0
YAL065C	YAL065C	0	0	1.029	0	0
YAL066W	YAL066W	0	1	1.734	0	0
YAL067C	SEO1	1	6	7	1	0
YAL067W-A	YAL067W-A	0	1	0	0	0
