gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
HRA1	HRA1	314	314	314	314	314
snR18	snR18	13.088	3.543	3.543	12.971	12.889
tA(UGC)A	TGA1	5.9334	5.9334	5.9334	5.9334	5.9334
tL(CAA)A	SUP56	7.0178	7.0178	7.0178	7.0178	7.0178
tP(UGG)A	TRN1	4.07172156545971	2.918	2.918	7.928	4.07172156545971
tS(AGA)A	tS(AGA)A	9.59	9.59	9.59	9.59	9.59
YAL001C	TFC3	3314.155	3233	3233	3314.485	3314.942
YAL002W	VPS8	3656.155	3575	3575	3656.485	3656.942
YAL003W	EFB1	452.334	371	371	452.703	453.415
YAL004W	YAL004W	479.306	398	398	436.985949931036	480.276
YAL005C	SSA1	1760.155	1679	1679	1760.485	1760.942
YAL007C	ERP2	479.306	398	398	479.684	480.276
YAL008W	FUN14	428.395	347	347	428.793	429.531
YAL009W	SPO7	611.195	530	530	611.644	612.054
YAL010C	MDM10	1313.155	1232	1232	1313.485	1313.942
YAL011W	SWC3	1709.155	1628	1628	1709.485	1709.942
YAL012W	CYS3	1016.155	935	935	1016.485	1016.942
YAL013W	DEP1	1049.155	968	968	1049.485	1049.942
YAL014C	SYN8	599.195	518	518	599.644	600.054
YAL015C	NTG1	1031.155	950	950	1031.485	1031.942
YAL016C-A	YAL016C-A	119.3516	119.3516	119.3516	119.3516	119.3516
YAL016C-B	YAL016C-B	34.5764	34.5764	34.5764	34.5764	34.5764
YAL016W	TPD3	1739.155	1658	1658	1739.485	1739.942
YAL017W	PSK1	3902.155	3821	3821	3902.485	3902.942
YAL018C	LDS1	728	728	728	728	728
YAL019W	FUN30	3227.155	3146	3146	3227.485	3227.942
YAL019W-A	YAL019W-A	320	320	320	320	320
YAL020C	ATS1	833.155	752	752	833.485	833.942
YAL021C	CCR4	2345.155	2264	2264	2345.485	2345.942
YAL022C	FUN26	1385.155	1304	1304	1385.485	1385.942
YAL023C	PMT2	2111.155	2030	2030	2111.485	2111.942
YAL024C	LTE1	4139.155	4058	4058	4139.485	4139.942
YAL025C	MAK16	752.188	671	671	752.6	752.969
YAL026C	DRS2	3899.155	3818	3818	3899.485	3899.942
YAL026C-A	YAL026C-A	270.717	188	188	271.445	272.439
YAL027W	SAW1	617.195	536	536	617.644	618.054
YAL028W	FRT2	1418.155	1337	1337	1418.485	1418.942
YAL029C	MYO4	4247.155	4166	4166	4247.485	4247.942
YAL030W	SNC1	189.938	104.002	104.002	190.952	192.207
YAL031C	GIP4	2114.155	2033	2033	2114.485	2114.942
YAL031W-A	YAL031W-A	113.8094	113.8094	113.8094	113.8094	113.8094
YAL032C	PRP45	971.155	890	890	971.485	971.942
YAL033W	POP5	353.718	272	272	354.281	355.145
YAL034C	FUN19	1073.155	992	992	1073.485	1073.942
YAL034C-B	YAL034C-B	156.2202	156.2202	156.2202	156.2202	156.2202
YAL034W-A	MTW1	701.188	620	620	701.602	701.969
YAL035W	FUN12	2840.155	2759	2759	2840.485	2840.942
YAL036C	RBG1	941.155	860	860	941.485	941.942
YAL037C-A	YAL037C-A	8.1228	8.1228	8.1228	8.1228	8.1228
YAL037C-B	YAL037C-B	806.188	725	725	751.110986059949	751.110986059949
YAL037W	YAL037W	635.188	554	554	635.622	636.051
YAL038W	CDC19	1334.155	1253	1253	1334.485	1334.942
YAL039C	CYC3	641.188	560	560	641.622	642.051
YAL040C	CLN3	1574.155	1493	1493	1574.485	1574.942
YAL041W	CDC24	2396.155	2315	2315	2396.485	2396.942
YAL042C-A	YAL042C-A	179.4194	179.4194	179.4194	179.4194	179.4194
YAL042W	ERV46	1079.155	998	998	1079.485	1079.942
YAL043C	PTA1	2189.155	2108	2108	2189.485	2189.942
YAL044C	GCV3	344.768	263	263	345.333	346.236
YAL044W-A	YAL044W-A	170.456	83.038	83.038	171.671	172.844
YAL045C	YAL045C	59.592	59.592	59.592	59.592	59.592
YAL046C	AIM1	192.826	107.001	107.001	193.714	194.999
YAL047C	SPC72	1700.155	1619	1619	1700.485	1700.942
YAL047W-A	YAL047W-A	133.3874	133.3874	133.3874	133.3874	133.3874
YAL048C	GEM1	1820.155	1739	1739	1820.485	1820.942
YAL049C	AIM2	572.195	491	491	572.658	573.113
YAL051W	OAF1	2975.155	2894	2894	2975.485	2975.942
YAL053W	FLC2	2183.155	2102	2102	2183.485	2183.942
YAL054C	ACS1	1973.155	1892	1892	1973.485	1973.942
YAL055W	PEX22	374.596	293	293	375.106	375.878
YAL056C-A	YAL056C-A	153.3456	153.3456	153.3456	153.3456	153.3456
YAL056W	GPB2	2474.155	2393	2393	2474.485	2474.942
YAL058W	CNE1	1340.155	1259	1259	1340.485	1340.942
YAL059C-A	YAL059C-A	173	173	173	173	173
YAL059W	ECM1	470.31	389	389	470.684	471.318
YAL060W	BDH1	980.155	899	899	980.485	980.942
YAL061W	BDH2	1085.155	1004	1004	1085.485	1085.942
YAL062W	GDH3	1205.155	1124	1124	1205.485	1205.942
YAL063C	FLO9	3800.155	3719	3719	3800.485	3800.942
YAL063C-A	YAL063C-A	43.643	43.643	43.643	43.643	43.643
YAL064C-A	TDA8	182.3266	182.3266	182.3266	182.3266	182.3266
YAL064W	YAL064W	38.947	38.947	38.947	38.947	38.947
YAL064W-B	YAL064W-B	215.594	182.821939904867	131	216.36	182.821939904867
YAL065C	YAL065C	137	137	137	137	137
YAL066W	YAL066W	59.592	59.592	59.592	59.592	59.592
YAL067C	SEO1	1613.155	1532	1532	1613.485	1572.13429040704
YAL067W-A	YAL067W-A	13.36	13.36	13.36	13.36	13.36
YAL068C	PAU8	198.543	113	113	199.33	200.673
YAL068W-A	YAL068W-A	102.2	46.9679358711877	21.585	46.9679358711877	46.9679358711877
YAL069W	YAL069W	153.964	65.324	65.324	86.9337155837526	86.9337155837526
YAR002C-A	ERP1	491.306	410	410	491.671	492.228
YAR002W	NUP60	1451.155	1370	1370	1451.485	1451.942
YAR003W	SWD1	1112.155	1031	1031	1112.485	1112.942
YAR007C	RFA1	1697.155	1616	1616	1697.485	1697.942
YAR008W	SEN34	659.188	578	578	659.602	660.051
YAR009C	YAR009C	3422.155	3341	3341	3422.485	3422.942
YAR010C	YAR010C	1154.155	1073	1073	1154.485	1154.942
YAR014C	BUD14	1961.155	1880	1880	1961.485	1961.942
YAR015W	ADE1	752.188	671	671	752.6	752.969
YAR018C	KIN3	1139.155	1058	1058	1139.485	1139.942
YAR019C	CDC15	2756.155	2675	2675	2756.485	2756.942
YAR019W-A	YAR019W-A	136.2094	136.2094	136.2094	136.2094	136.2094
YAR020C	PAU7	27.4922	27.4922	27.4922	27.4922	27.4922
YAR023C	YAR023C	371.625	290	290	372.139	328.398773211658
YAR027W	UIP3	539.2	458	458	539.659	540.169
YAR028W	YAR028W	536.202	455	455	536.659	537.169
YAR029W	YAR029W	78.828	12.734	12.734	23.3813760217313	23.3813760217313
YAR030C	YAR030C	178.855	143.583815801895	92.011	179.877	143.583815801895
YAR031W	PRM9	728.188	647	647	728.6	728.969
YAR033W	MST28	536.202	455	455	536.659	537.169
YAR035C-A	YAR035C-A	6.9258	6.9258	6.9258	6.9258	6.9258
YAR035W	YAT1	1895.155	1814	1814	1895.485	1895.942
YAR042W	SWH1	3398.155	3317	3317	3398.485	3398.942
YAR047C	YAR047C	106.979338056468	106.979338056468	71.167	160.813	106.979338056468
YAR050W	FLO1	4445.155	4364	4364	4445.485	4445.942
YAR053W	YAR053W	103.0548	103.0548	103.0548	103.0548	103.0548
YAR060C	YAR060C	173.279	137.795189915397	86.025	137.795189915397	175.522
YAR061W	YAR061W	42.6876	42.6876	42.6876	42.6876	42.6876
YAR062W	YAR062W	428.395	399.46050957847	347	428.793	399.46050957847
YAR064W	YAR064W	51.326	51.326	51.326	51.326	51.326
YAR066W	YAR066W	443.353	362	362	443.747	444.446
YAR068W	YAR068W	318.046	236	236	318.567	319.48
YAR069C	YAR069C	138.194	138.194	138.194	138.194	138.194
YAR070C	YAR070C	105.6952	105.6952	105.6952	105.6952	105.6952
