gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
HRA1	HRA1	0	106.55915	102.615646	0	0
snR18	snR18	10415.782104	75547.67533	18187.647692	14869.286494	28558.816535
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	57336.17069	126230.106814	3041.179209	0
tS(AGA)A	tS(AGA)A	4738.464374	0	0	0	0
YAL001C	TFC3	754.106992	771.961299	596.751772	436.439099	416.413086
YAL002W	VPS8	447.425771	350.566622	380.048703	415.398778	314.558178
YAL003W	EFB1	63489.383018	74046.299718	73850.553459	59381.29276	71442.413734
YAL004W	YAL004W	94.804708	168.136311	40.477804	0	95.804994
YAL005C	SSA1	159492.434773	132052.777348	133463.077866	112585.05638	111835.016271
YAL007C	ERP2	4361.01656	4780.326638	5464.503545	3065.938336	4215.419751
YAL008W	FUN14	1484.999428	1792.616265	1207.009708	562.264842	321.370633
YAL009W	SPO7	1040.857419	947.140942	622.960319	354.758234	375.888659
YAL010C	MDM10	380.644706	380.196662	483.828039	550.66129	350.18934
YAL011W	SWC3	265.865294	549.387585	368.027438	267.964175	457.45316
YAL012W	CYS3	11045.365658	8373.72775	9269.806795	9131.626552	10406.646487
YAL013W	DEP1	346.492178	700.419649	599.138416	482.426826	438.241838
YAL014C	SYN8	1213.37432	1291.858149	1400.97921	1125.779246	1303.579566
YAL015C	NTG1	528.810898	423.026697	474.904376	186.988742	267.531614
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	3866.931896	3358.556506	3216.20319	2688.867932	2750.284726
YAL017W	PSK1	1164.497545	1054.183656	914.174635	623.977018	707.356249
YAL018C	LDS1	0	46.878863	88.517396	0	0
YAL019W	FUN30	1422.147503	1212.920729	1246.276928	1389.431592	1197.381691
YAL019W-A	YAL019W-A	0	208.157414	0	0	0
YAL020C	ATS1	654.483266	355.948151	385.615679	347.113754	110.350252
YAL021C	CCR4	2034.51475	1537.002904	1497.218467	1397.959835	1588.717997
YAL022C	FUN26	1377.824859	949.516226	1074.834697	939.680784	896.391685
YAL023C	PMT2	6500.247893	5374.970313	5245.724001	4921.275861	5316.02376
YAL024C	LTE1	537.932128	467.7375	401.80777	401.875233	511.26094
YAL025C	MAK16	1147.811405	1595.666226	1344.514816	1601.748282	1283.279469
YAL026C	DRS2	1421.780078	1508.674218	1395.293389	1115.430353	1458.726674
YAL026C-A	YAL026C-A	2014.231004	2127.165561	1733.450951	1295.850136	905.550869
YAL027W	SAW1	736.242021	686.66117	601.125599	195.173329	148.895829
YAL028W	FRT2	288.377856	250.289113	228.94028	67.986653	129.710298
YAL029C	MYO4	1904.429871	1490.055672	1409.211855	1367.960805	1505.619603
YAL030W	SNC1	3349.342273	4182.326276	6234.771857	1893.892229	1915.138263
YAL031C	GIP4	816.751364	763.487583	597.935216	410.474642	326.341174
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	655.062274	579.403757	669.748501	446.709088	615.434955
YAL033W	POP5	1670.047841	1722.074022	1776.642306	1224.935323	906.925836
YAL034C	FUN19	677.486478	598.926318	716.443414	247.050136	257.068916
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	518.440434	216.050847	675.883879	171.81754	393.289515
