tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	2	1	1	0	0
YAL068W-A	YAL068W-A	1	0	2	0	0
YAL068C	YAL068C	2	4	15	3	1
YAL067W-A	YAL067W-A	0	1	0	0	0
YAL067C	YAL067C	1	6	7	1	0
YAL066W	YAL066W	0	1	1.734	0	0
YAL065C	YAL065C	0	0	1.029	0	0
YAL064W-B	YAL064W-B	1	0	1	1	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	2	0	0
YAL063C-A	YAL063C-A	0	1	2.614	0	0
YAL063C	YAL063C	4.645	10.78	14.355	4.535	1.11
YAL062W	YAL062W	5	29.016	50.921	13	4
YAL061W	YAL061W	30	15.002	83	9	5
YAL060W	YAL060W	49	56.972	116	43	29
YAL059C-A	YAL059C-A	0	0	0.693	0	0
YAL059W	YAL059W	17	24.785	43.999	33	20
YAL058W	YAL058W	23	28	49	39	27
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	YAL056W	61	54.707	135.018	72	38
YAL055W	YAL055W	6	1	5	1	2
YAL054C	YAL054C	3	6.001	15.995	5	1
YAL053W	YAL053W	116	130.73	263.93	133	68
YAL051W	YAL051W	38	63.059	119.001	81	39
YAL049C	YAL049C	26	37.008	66	34	12
YAL048C	YAL048C	18	23.057	47	26	10
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL047C	YAL047C	20	28.016	46	19	14
YAL046C	YAL046C	2	6	8.795	8	6
YAL045C	YAL045C	0	0	1	0	0
YAL044W-A	YAL044W-A	5	4	14	7	3
YAL044C	YAL044C	33	58	123	47	25
YAL043C	YAL043C	63	67.799	135.002	77	44
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	YAL042W	141	146	291	168	102
YAL041W	YAL041W	61	66.937	142.974	89	50
YAL040C	YAL040C	34	46.997	94.982	50	36
YAL039C	YAL039C	9	17	39.307	12	5
YAL038W	YAL038W	5710	6389.305	13478.871	10312	6339
