tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	590.275923	512.395063	246.620273	0	0
YAL068W-A	YAL068W-A	444.621586	0	1492.716631	0	0
YAL068C	YAL068C	457.740058	1184.390337	2138.511287	362.857477	229.292791
YAL067W-A	YAL067W-A	0	2504.517307	0	0	0
YAL067C	YAL067C	28.168713	131.040969	73.610419	14.942508	0
YAL066W	YAL066W	0	561.465555	468.660874	0	0
YAL065C	YAL065C	0	0	121.03323	0	0
YAL064W-B	YAL064W-B	210.769026	0	122.978357	111.432532	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	827.293982	0	0
YAL063C-A	YAL063C-A	0	766.653802	964.853069	0	0
YAL063C	YAL063C	55.542923	96.984698	62.185272	28.767802	13.438432
YAL062W	YAL062W	188.525542	863.755102	729.840943	259.997963	152.620439
YAL061W	YAL061W	1256.239894	499.958886	1331.816518	199.897368	211.856852
YAL060W	YAL060W	2271.665716	2120.4107	2078.731109	1057.342977	1360.297261
YAL059C-A	YAL059C-A	0	0	64.518322	0	0
YAL059W	YAL059W	1642.508187	2131.804057	1822.203641	1690.337102	1952.51714
YAL058W	YAL058W	779.85867	744.126711	627.00565	701.44086	926.473251
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	YAL056W	1120.330158	764.91831	908.968753	701.513638	706.476361
YAL055W	YAL055W	727.833003	114.194969	274.917508	64.273891	244.828519
YAL054C	YAL054C	69.088084	106.131939	136.199311	61.083598	23.31013
YAL053W	YAL053W	2414.44054	2080.936031	2022.816647	1468.55383	1432.672366
YAL051W	YAL051W	580.386223	729.059711	662.450723	656.320105	603.002618
YAL049C	YAL049C	2064.772857	2521.913568	2165.521301	1431.436047	963.429994
YAL048C	YAL048C	449.373263	443.626903	435.410971	344.329852	252.687042
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL047C	YAL047C	534.545375	578.986406	457.731709	269.382404	378.71946
YAL046C	YAL046C	471.311242	1876.195767	1324.192676	995.676217	1415.786229
YAL045C	YAL045C	0	0	270.3389	0	0
YAL044W-A	YAL044W-A	1332.906706	1611.755329	2716.142697	983.080326	798.631604
YAL044C	YAL044C	4349.410123	7378.816862	7534.412211	3281.320691	3322.363556
YAL043C	YAL043C	1307.697018	1076.144097	1031.739915	847.88547	924.483438
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	YAL042W	5937.155007	4894.822058	4697.453234	3752.157524	4345.891521
YAL041W	YAL041W	1156.799315	967.452269	994.96092	895.372472	959.823867
YAL040C	YAL040C	981.464335	1053.23582	1024.900176	765.631689	1051.76093
YAL039C	YAL039C	637.823478	1015.723471	1130.794058	450.910296	358.326883
YAL038W	YAL038W	194479.092844	170614.972482	173301.562237	186302.043812	218492.970862
YAL037C-B	YAL037C-B	56.364673	46.886414	66.662756	0	0
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	286.154834	307.818503	290.949631	151.722231	72.341411
YAL036C	YAL036C	2365.800015	2374.682926	2772.481019	2099.852676	2344.74834
YAL035W	YAL035W	6543.714768	5899.220337	5126.831176	6450.74011	6316.569743
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	518.440434	216.050847	675.883879	171.81754	393.289515
YAL034C	YAL034C	677.486478	598.926318	716.443414	247.050136	257.068916
YAL033W	YAL033W	1670.047841	1722.074022	1776.642306	1224.935323	906.925836
YAL032C	YAL032C	655.062274	579.403757	669.748501	446.709088	615.434955
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	816.751364	763.487583	597.935216	410.474642	326.341174
YAL030W	YAL030W	3349.342273	4182.326276	6234.771857	1893.892229	1915.138263
YAL029C	YAL029C	1904.429871	1490.055672	1409.211855	1367.960805	1505.619603
YAL028W	YAL028W	288.377856	250.289113	228.94028	67.986653	129.710298
YAL027W	YAL027W	736.242021	686.66117	601.125599	195.173329	148.895829
YAL026C-A	YAL026C-A	2014.231004	2127.165561	1733.450951	1295.850136	905.550869
YAL026C	YAL026C	1421.780078	1508.674218	1395.293389	1115.430353	1458.726674
HRA1	HRA1	0	106.55915	102.615646	0	0
YAL025C	YAL025C	1147.811405	1595.666226	1344.514816	1601.748282	1283.279469
YAL024C	YAL024C	537.932128	467.7375	401.80777	401.875233	511.26094
YAL023C	YAL023C	6500.247893	5374.970313	5245.724001	4921.275861	5316.02376
YAL022C	YAL022C	1377.824859	949.516226	1074.834697	939.680784	896.391685
YAL021C	YAL021C	2034.51475	1537.002904	1497.218467	1397.959835	1588.717997
YAL020C	YAL020C	654.483266	355.948151	385.615679	347.113754	110.350252
YAL019W-A	YAL019W-A	0	208.157414	0	0	0
YAL019W	YAL019W	1422.147503	1212.920729	1246.276928	1389.431592	1197.381691
YAL018C	YAL018C	0	46.878863	88.517396	0	0
YAL017W	YAL017W	1164.497545	1054.183656	914.174635	623.977018	707.356249
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016W	YAL016W	3866.931896	3358.556506	3216.20319	2688.867932	2750.284726
YAL015C	YAL015C	528.810898	423.026697	474.904376	186.988742	267.531614
YAL014C	YAL014C	1213.37432	1291.858149	1400.97921	1125.779246	1303.579566
YAL013W	YAL013W	346.492178	700.419649	599.138416	482.426826	438.241838
YAL012W	YAL012W	11045.365658	8373.72775	9269.806795	9131.626552	10406.646487
YAL011W	YAL011W	265.865294	549.387585	368.027438	267.964175	457.45316
YAL010C	YAL010C	380.644706	380.196662	483.828039	550.66129	350.18934
YAL009W	YAL009W	1040.857419	947.140942	622.960319	354.758234	375.888659
YAL008W	YAL008W	1484.999428	1792.616265	1207.009708	562.264842	321.370633
YAL007C	YAL007C	4361.01656	4780.326638	5464.503545	3065.938336	4215.419751
tP(UGG)A	tP(UGG)A	0	57336.17069	126230.106814	3041.179209	0
YAL005C	YAL005C	159492.434773	132052.777348	133463.077866	112585.05638	111835.016271
YAL004W	YAL004W	94.804708	168.136311	40.477804	0	95.804994
YAL003W	YAL003W	63489.383018	74046.299718	73850.553459	59381.29276	71442.413734
snR18	snR18	10415.782104	75547.67533	18187.647692	14869.286494	28558.816535
YAL002W	YAL002W	447.425771	350.566622	380.048703	415.398778	314.558178
YAL001C	YAL001C	754.106992	771.961299	596.751772	436.439099	416.413086
YAR002W	YAR002W	1784.859982	1537.1921	1422.869681	1013.224542	1267.622179
YAR002C-A	YAR002C-A	5919.304528	6416.949135	6198.424251	4168.047826	5982.63205
YAR003W	YAR003W	1103.167725	551.702377	546.902057	476.778774	578.808155
YAR007C	YAR007C	1499.372762	1407.932967	1268.126661	1349.292444	1219.463354
YAR008W	YAR008W	551.472759	1100.400131	1170.634905	146.20638	348.555089
YAR009C	YAR009C	219411.104767	173006.678938	161574.976008	256664.426439	230995.633635
YAR010C	YAR010C	226030.22169	190246.158758	178037.604075	281319.567362	244258.830678
tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	1274.365093	1156.738814	1448.543956	835.819228	1172.635181
YAR015W	YAR015W	3201.789709	3291.061591	3648.123627	2915.181873	2383.233299
YAR018C	YAR018C	797.793101	505.998159	441.651171	528.9563	565.098839
YAR019C	YAR019C	346.225262	475.307401	451.662053	227.408224	300.416604
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	YAR020C	0	0	0	0	0
YAR023C	YAR023C	122.275221	115.376296	277.761482	129.572661	0
tL(CAA)A	tL(CAA)A	0	0	0	0	0
tS(AGA)A	tS(AGA)A	4738.464374	0	0	0	0
YAR027W	YAR027W	2106.849411	2483.869472	2602.95259	1161.561904	1618.464123
YAR028W	YAR028W	1525.413428	1176.584651	2053.603581	718.803126	942.238567
YAR029W	YAR029W	576.454542	2627.635632	5060.699584	0	0
YAR030C	YAR030C	508.127714	0	350.180567	134.033407	0
YAR031W	YAR031W	1060.837216	778.662329	1045.791307	397.082324	568.083923
YAR033W	YAR033W	84.74519	955.975029	743.496298	224.625977	342.632206
YAR035W	YAR035W	47.954388	75.369138	35.702168	152.633312	48.538241
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR042W	YAR042W	1390.699341	1146.953185	1021.373538	900.962723	1015.305075
