ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	1	1	0	0	3.17460317460317	32.3032630333572	1	1	0	0	3.17460317460317	32.3032630333572
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	20	17	0.15	3	55.0964187327824	560.635143554132	19	16	0.157894736842105	3	52.3415977961432	532.603386376426
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	5	5	0	0	2.80583613916947	28.5508637921086	5	5	0	0	2.80583613916947	28.5508637921086
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	3	3	0	0	7.75193798449612	78.880060895407	0	0	NA	0	0	0
YAL064W-B	381	3	3	0	0	7.8740157480315	80.1222665787992	3	3	0	0	7.8740157480315	80.1222665787992
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	2	2	0	0	7.01754385964912	71.4072130211053	1	1	0	0	3.50877192982456	35.7036065105526
YAL063C-A	291	2	2	0	0	6.87285223367698	69.934899350567	2	2	0	0	6.87285223367698	69.934899350567
YAL063C	3969	24	24	0	0	6.04686318972033	61.5300248254422	8	8	0	0	2.01562106324011	20.5100082751474
YAL062W	1374	37	25	0.324324324324324	12	26.9286754002911	274.013486647582	34	22	0.352941176470588	12	24.745269286754	251.7961769194
YAL061W	1254	91	81	0.10989010989011	10	72.5677830940989	738.41549828643	89	79	0.112359550561798	10	70.9728867623604	722.186586236179
YAL060W	1149	126	107	0.150793650793651	19	109.660574412533	1115.85422958568	126	107	0.150793650793651	19	109.660574412533	1115.85422958568
YAL059C-A	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL059W	639	46	35	0.239130434782609	11	71.9874804381847	732.51061244655	46	35	0.239130434782609	11	71.9874804381847	732.51061244655
YAL058W	1509	56	48	0.142857142857143	8	37.1106693174288	377.620649376024	56	48	0.142857142857143	8	37.1106693174288	377.620649376024
YAL056C-A	351	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL056W	2643	135	121	0.103703703703704	14	51.0783200908059	519.748868896524	135	121	0.103703703703704	14	51.0783200908059	519.748868896524
YAL055W	543	9	8	0.111111111111111	1	16.5745856353591	168.655157826091	9	8	0.111111111111111	1	16.5745856353591	168.655157826091
YAL054C	2142	15	14	0.0666666666666667	1	7.00280112044818	71.2571978676996	15	14	0.0666666666666667	1	7.00280112044818	71.2571978676996
YAL053W	2352	280	242	0.135714285714286	38	119.047619047619	1211.37236375089	280	242	0.135714285714286	38	119.047619047619	1211.37236375089
YAL051W	3144	126	113	0.103174603174603	13	40.0763358778626	407.797872071866	125	113	0.096	12	39.7582697201018	404.561381023676
YAL049C	741	81	64	0.209876543209877	17	109.311740890688	1112.30466436722	81	64	0.209876543209877	17	109.311740890688	1112.30466436722
YAL048C	1989	49	47	0.0408163265306122	2	24.6354952237305	250.679167883292	49	47	0.0408163265306122	2	24.6354952237305	250.679167883292
YAL047W-A	330	1	1	0	0	3.03030303030303	30.8349328954773	1	1	0	0	3.03030303030303	30.8349328954773
YAL047C	1869	45	43	0.0444444444444444	2	24.0770465489567	244.996657837259	45	43	0.0444444444444444	2	24.0770465489567	244.996657837259
YAL046C	357	11	9	0.181818181818182	2	30.812324929972	313.531670617878	11	9	0.181818181818182	2	30.812324929972	313.531670617878
YAL045C	309	1	1	0	0	3.23624595469256	32.9305108592476	1	1	0	0	3.23624595469256	32.9305108592476
YAL044W-A	333	32	27	0.15625	5	96.0960960960961	977.828502631352	32	27	0.15625	5	96.0960960960961	977.828502631352
YAL044C	513	172	102	0.406976744186047	70	335.282651072125	3411.67795545281	172	102	0.406976744186047	70	335.282651072125	3411.67795545281
YAL043C	2358	142	129	0.0915492957746479	13	60.2205258693808	612.775638457195	142	129	0.0915492957746479	13	60.2205258693808	612.775638457195
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL042W	1248	323	216	0.331269349845201	107	258.814102564103	2633.5701100392	323	216	0.331269349845201	107	258.814102564103	2633.5701100392
YAL041W	2565	147	130	0.115646258503401	17	57.3099415204678	583.158906339026	147	130	0.115646258503401	17	57.3099415204678	583.158906339026
YAL040C	1743	100	94	0.06	6	57.372346528973	583.793910241394	100	94	0.06	6	57.372346528973	583.793910241394
YAL039C	810	47	44	0.0638297872340425	3	58.0246913580247	590.431863220806	45	42	0.0666666666666667	3	55.5555555555556	565.30710308375
YAL038W	1503	14229	1213	0.91475156370792	13016	9467.06586826347	96332.3924524393	14205	1196	0.915804294262584	13009	9451.09780439122	96169.9089737086
YAL037C-B	975	3	3	0	0	3.07692307692308	31.3093164784846	3	3	0	0	3.07692307692308	31.3093164784846
YAL037C-A	93	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL037W	804	12	11	0.0833333333333333	1	14.9253731343284	151.873550082202	12	11	0.0833333333333333	1	14.9253731343284	151.873550082202
YAL036C	1110	158	118	0.253164556962025	40	142.342342342342	1448.40846952269	158	118	0.253164556962025	40	142.342342342342	1448.40846952269
YAL035W	3009	910	580	0.362637362637363	330	302.42605516783	3077.3447485915	910	580	0.362637362637363	330	302.42605516783	3077.3447485915
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	26	23	0.115384615384615	3	29.8850574712644	304.096234762293	26	23	0.115384615384615	3	29.8850574712644	304.096234762293
YAL034C	1242	49	46	0.0612244897959184	3	39.4524959742351	401.449971755127	49	46	0.0612244897959184	3	39.4524959742351	401.449971755127
YAL033W	522	30	28	0.0666666666666667	2	57.4712643678161	584.800451465949	30	28	0.0666666666666667	2	57.4712643678161	584.800451465949
YAL032C	1140	41	38	0.0731707317073171	3	35.9649122807018	365.961966733165	41	38	0.0731707317073171	3	35.9649122807018	365.961966733165
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	81	76	0.0617283950617284	5	35.4796320630749	361.023984360976	81	76	0.0617283950617284	5	35.4796320630749	361.023984360976
YAL030W	354	50	37	0.26	13	141.242937853107	1437.22144851801	50	37	0.26	13	141.242937853107	1437.22144851801
YAL029C	4416	377	329	0.127320954907162	48	85.3713768115942	868.698822809404	377	329	0.127320954907162	48	85.3713768115942	868.698822809404
YAL028W	1587	21	19	0.0952380952380952	2	13.2325141776938	134.647816613521	21	19	0.0952380952380952	2	13.2325141776938	134.647816613521
YAL027W	786	24	24	0	0	30.5343511450382	310.703140626183	24	24	0	0	30.5343511450382	310.703140626183
YAL026C-A	438	11	8	0.272727272727273	3	25.1141552511416	255.549786325531	11	8	0.272727272727273	3	25.1141552511416	255.549786325531
