Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C	PAU8	I	-	1807	2169	1.867769	116.908203	293.499634
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	1.133858	70.970924	178.173477
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.000000	0.000000	0.000000
YAL062W	GDH3	I	+	31567	32940	1.594735	99.818336	250.595306
YAL061W	BDH2	I	+	33448	34701	1.506379	94.287926	236.711121
YAL060W	BDH1	I	+	35155	36303	6.659558	416.837921	1046.477295
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	10.395148	650.657593	1633.484741
YAL058W	CNE1	I	+	37464	38972	4.729215	296.013062	743.144836
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	4.863039	304.389435	764.173828
YAL055W	PEX22	I	+	42177	42719	0.000000	0.000000	0.000000
YAL054C	ACS1	I	-	42881	45022	0.000000	0.000000	0.000000
YAL053W	FLC2	I	+	45899	48250	10.525143	658.794312	1653.911987
YAL051W	OAF1	I	+	48564	51707	4.170553	261.045044	655.357178
YAL049C	AIM2	I	-	51855	52595	8.020918	502.048737	1260.400269
YAL048C	GEM1	I	-	52801	54789	2.279035	142.650345	358.125610
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.636169	102.411789	257.106201
YAL046C	AIM1	I	-	57029	57385	4.700280	294.201965	738.598022
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	5.717718	357.885864	898.477356
YAL044C	GCV3	I	-	57950	58462	19.962963	1249.530396	3136.963135
YAL043C	PTA1	I	-	58695	61052	5.413115	338.820007	850.612305
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	23.423878	1466.157471	3680.808350
YAL041W	CDC24	I	+	62840	65404	5.807408	363.499756	912.571167
YAL040C	CLN3	I	-	65778	67520	5.709382	357.364105	897.167419
YAL039C	CYC3	I	-	68716	69525	3.591358	224.791824	564.342957
YAL038W	CDC19	I	+	71786	73288	1187.625977	74336.398438	186622.531250
YAL037C-B	YAL037C-B	I	-	72326	73300	6.980970	436.955872	1096.983643
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.067164	66.796387	167.693237
YAL036C	RBG1	I	-	75043	76152	13.742793	860.194824	2159.530762
YAL035W	FUN12	I	+	76427	79435	41.882229	2621.510742	6581.337891
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.306897	81.801865	205.364685
YAL034C	FUN19	I	-	80710	81951	1.486312	93.031883	233.557800
YAL033W	POP5	I	+	82706	83227	6.395594	400.315796	1004.998230
YAL032C	PRP45	I	-	83335	84474	3.598390	225.231979	565.447937
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
