ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	4	4	0	0	11.0192837465565	117.782758418022	4	4	0	0	11.0192837465565	117.782758418022
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	2	2	0	0	1.12233445566779	11.9963920610948	2	2	0	0	1.12233445566779	11.9963920610948
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	2	2	0	0	5.16795865633075	55.2392006534135	0	0	NA	0	0	0
YAL064W-B	381	5	5	0	0	13.1233595800525	140.272773312802	5	5	0	0	13.1233595800525	140.272773312802
YAL064C-A	381	1	1	0	0	2.6246719160105	28.0545546625604	1	1	0	0	2.6246719160105	28.0545546625604
YAL064W	285	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C-A	291	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C	3969	7	7	0	0	1.7636684303351	18.8514732388633	4	4	0	0	1.00781053162006	10.7722704222076
YAL062W	1374	15	15	0	0	10.9170305676856	116.689796140126	15	15	0	0	10.9170305676856	116.689796140126
YAL061W	1254	13	13	0	0	10.3668261562998	110.808779301166	13	13	0	0	10.3668261562998	110.808779301166
YAL060W	1149	50	50	0	0	43.5161009573542	465.134261376654	50	50	0	0	43.5161009573542	465.134261376654
YAL059C-A	423	1	1	0	0	2.36406619385343	25.2689960435827	0	0	NA	0	0	0
YAL059W	639	42	42	0	0	65.7276995305164	702.549270282146	42	42	0	0	65.7276995305164	702.549270282146
YAL058W	1509	46	45	0.0217391304347826	1	30.4837640821736	325.834410216059	46	45	0.0217391304347826	1	30.4837640821736	325.834410216059
YAL056C-A	351	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL056W	2643	76	76	0	0	28.7552024214907	307.358185701513	76	76	0	0	28.7552024214907	307.358185701513
YAL055W	543	3	3	0	0	5.52486187845304	59.0540625769917	3	3	0	0	5.52486187845304	59.0540625769917
YAL054C	2142	5	5	0	0	2.33426704014939	24.9504792867309	5	5	0	0	2.33426704014939	24.9504792867309
YAL053W	2352	158	158	0	0	67.1768707482993	718.039150330276	156	156	0	0	66.3265306122449	708.950047161538
YAL051W	3144	84	84	0	0	26.7175572519084	285.578233912399	83	83	0	0	26.3994910941476	282.178493032489
YAL049C	741	46	45	0.0217391304347826	1	62.0782726045884	663.541329306388	46	45	0.0217391304347826	1	62.0782726045884	663.541329306388
YAL048C	1989	27	27	0	0	13.5746606334842	145.096633390527	27	27	0	0	13.5746606334842	145.096633390527
YAL047W-A	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL047C	1869	20	20	0	0	10.7009095773141	114.379725269508	20	20	0	0	10.7009095773141	114.379725269508
YAL046C	357	13	13	0	0	36.4145658263305	389.227476873002	13	13	0	0	36.4145658263305	389.227476873002
YAL045C	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL044W-A	333	16	16	0	0	48.048048048048	513.575270939844	16	16	0	0	48.048048048048	513.575270939844
YAL044C	513	69	68	0.0144927536231884	1	134.502923976608	1437.67288016384	69	68	0.0144927536231884	1	134.502923976608	1437.67288016384
YAL043C	2358	82	81	0.0121951219512195	1	34.7752332485157	371.705002870107	82	81	0.0121951219512195	1	34.7752332485157	371.705002870107
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL042W	1248	184	183	0.00543478260869565	1	147.435897435897	1575.91065710267	184	183	0.00543478260869565	1	147.435897435897	1575.91065710267
YAL041W	2565	94	94	0	0	36.6471734892787	391.713770247539	94	94	0	0	36.6471734892787	391.713770247539
YAL040C	1743	66	66	0	0	37.8657487091222	404.73885917656	66	66	0	0	37.8657487091222	404.73885917656
YAL039C	810	20	20	0	0	24.6913580246914	263.920625344086	20	20	0	0	24.6913580246914	263.920625344086
YAL038W	1503	11347	9147	0.193883845950471	2200	7549.56753160346	80695.706652737	11231	9042	0.194906953966699	2189	7472.38855622089	79870.7571531584
YAL037C-B	975	3	2	0.333333333333333	1	3.07692307692308	32.8885702351862	3	2	0.333333333333333	1	3.07692307692308	32.8885702351862
YAL037C-A	93	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL037W	804	7	7	0	0	8.70646766169154	93.0615637873738	6	6	0	0	7.46268656716418	79.7670546748918
YAL036C	1110	100	98	0.02	2	90.0900900900901	962.953633012208	100	98	0.02	2	90.0900900900901	962.953633012208
YAL035W	3009	802	789	0.0162094763092269	13	266.533732136923	2848.92184506523	800	787	0.01625	13	265.869059488202	2841.8173018107
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	8	8	0	0	9.19540229885057	98.2876811626253	8	8	0	0	9.19540229885057	98.2876811626253
YAL034C	1242	12	12	0	0	9.66183574879227	103.273288178121	12	12	0	0	9.66183574879227	103.273288178121
YAL033W	522	22	22	0	0	42.1455938697318	450.485205328699	22	22	0	0	42.1455938697318	450.485205328699
YAL032C	1140	22	22	0	0	19.2982456140351	206.274804545247	22	22	0	0	19.2982456140351	206.274804545247
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	39	39	0	0	17.0827858081472	182.594230280764	39	39	0	0	17.0827858081472	182.594230280764
YAL030W	354	25	25	0	0	70.6214689265537	754.857720793468	25	25	0	0	70.6214689265537	754.857720793468
YAL029C	4416	255	255	0	0	57.7445652173913	617.21926137705	255	255	0	0	57.7445652173913	617.21926137705
YAL028W	1587	4	4	0	0	2.52047889098929	26.9408577855967	4	4	0	0	2.52047889098929	26.9408577855967
YAL027W	786	7	7	0	0	8.9058524173028	95.1927446374663	7	7	0	0	8.9058524173028	95.1927446374663
YAL026C-A	438	8	8	0	0	18.2648401826484	195.228955733982	8	8	0	0	18.2648401826484	195.228955733982
YAL026C	4068	184	184	0	0	45.2310717797443	483.465216338282	184	184	0	0	45.2310717797443	483.465216338282
HRA1	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL025C	921	64	64	0	0	69.4896851248643	742.760326701273	64	64	0	0	69.4896851248643	742.760326701273
YAL024C	4308	72	72	0	0	16.7130919220056	178.642651695301	72	72	0	0	16.7130919220056	178.642651695301
YAL023C	2280	491	485	0.0122199592668024	6	215.350877192982	2301.83929617536	491	485	0.0122199592668024	6	215.350877192982	2301.83929617536
YAL022C	1554	61	61	0	0	39.2535392535393	419.57265438389	61	61	0	0	39.2535392535393	419.57265438389
YAL021C	2514	153	153	0	0	60.8591885441527	650.510801489512	148	148	0	0	58.8703261734288	629.252278565018
YAL020C	1002	16	16	0	0	15.9680638722555	170.679206809349	16	16	0	0	15.9680638722555	170.679206809349
YAL019W-A	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL019W	3396	196	196	0	0	57.7149587750294	616.902804470365	194	194	0	0	57.1260306242638	610.607877894136
YAL018C	978	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL017W	4071	125	124	0.008	1	30.7049864898059	328.199009040638	117	116	0.00854700854700855	1	28.7398673544584	307.194272462037
YAL016C-B	186	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016C-A	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016W	1908	227	225	0.00881057268722467	2	118.972746331237	1271.67414523106	227	225	0.00881057268722467	2	118.972746331237	1271.67414523106
YAL015C	1200	10	10	0	0	8.33333333333333	89.0732110536292	10	10	0	0	8.33333333333333	89.0732110536292
YAL014C	768	32	32	0	0	41.6666666666667	445.366055268146	32	32	0	0	41.6666666666667	445.366055268146
YAL013W	1218	25	25	0	0	20.5254515599343	219.392145452289	25	25	0	0	20.5254515599343	219.392145452289
YAL012W	1185	482	477	0.0103734439834025	5	406.751054852321	4347.67470661765	482	477	0.0103734439834025	5	406.751054852321	4347.67470661765
YAL011W	1878	23	23	0	0	12.2470713525027	130.906316564439	23	23	0	0	12.2470713525027	130.906316564439
YAL010C	1482	31	31	0	0	20.9176788124157	223.584578353239	31	31	0	0	20.9176788124157	223.584578353239
YAL009W	780	12	12	0	0	15.3846153846154	164.442851175931	12	12	0	0	15.3846153846154	164.442851175931
YAL008W	597	12	12	0	0	20.1005025125628	214.849956310261	12	12	0	0	20.1005025125628	214.849956310261
YAL007C	648	101	100	0.0099009900990099	1	155.864197530864	1665.99894748455	101	100	0.0099009900990099	1	155.864197530864	1665.99894748455
tP(UGG)A	72	2	2	0	0	27.7777777777778	296.910703512097	2	2	0	0	27.7777777777778	296.910703512097
YAL005C	1929	8459	7065	0.164794893013359	1394	4385.17366511146	46872.1799255147	8347	6961	0.166047681801845	1386	4327.11249351996	46251.5765265719
YAL004W	648	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL003W	621	1557	1379	0.11432241490045	178	2507.24637681159	26799.4182822224	1547	1369	0.115061409179056	178	2491.14331723027	26627.2961352588
snR18	102	20	19	0.05	1	196.078431372549	2095.84026008539	20	19	0.05	1	196.078431372549	2095.84026008539
YAL002W	3825	69	69	0	0	18.0392156862745	192.817303927856	69	69	0	0	18.0392156862745	192.817303927856
YAL001C	3483	62	62	0	0	17.800746482917	190.268357806202	62	62	0	0	17.800746482917	190.268357806202
YAR002W	1620	79	79	0	0	48.7654320987654	521.243235054571	72	72	0	0	44.4444444444444	475.057125619356
YAR002C-A	660	113	110	0.0265486725663717	3	171.212121212121	1830.04960892002	111	108	0.027027027027027	3	168.181818181818	1797.65935035506
YAR003W	1281	25	25	0	0	19.5160031225605	208.602367807094	25	25	0	0	19.5160031225605	208.602367807094
YAR007C	1866	109	108	0.00917431192660551	1	58.4137191854234	624.371704491677	107	106	0.00934579439252336	1	57.3419078242229	612.915342941371
YAR008W	828	5	5	0	0	6.03864734299517	64.5458051113255	5	5	0	0	6.03864734299517	64.5458051113255
YAR009C	3591	39591	30001	0.24222676871006	9590	11025.0626566416	117844.527947343	38682	29158	0.246212708753425	9524	10771.9298245614	115138.845446165
YAR010C	1323	17585	13178	0.250611316462895	4407	13291.761148904	142072.781530891	16957	12617	0.255941499085923	4340	12817.082388511	136999.042162031
tA(UGC)A	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YAR014C	2130	85	84	0.0117647058823529	1	39.906103286385	426.547771242731	85	84	0.0117647058823529	1	39.906103286385	426.547771242731
