Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.000000	0.000000	0.000000
YAL068W-A	YAL068W-A	I	+	538	792	0.000000	0.000000	0.000000
YAL068C	PAU8	I	-	1807	2169	5.055949	594.189270	1166.885986
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	0.000000	0.000000	0.000000
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.000000	0.000000	0.000000
YAL062W	GDH3	I	+	31567	32940	2.421640	284.597870	558.901550
YAL061W	BDH2	I	+	33448	34701	6.620415	778.049622	1527.956421
YAL060W	BDH1	I	+	35155	36303	10.494344	1233.324585	2422.038574
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	6.732394	791.209717	1553.800537
YAL058W	CNE1	I	+	37464	38972	3.523527	414.094727	813.211182
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	5.007283	588.469910	1155.654175
YAL055W	PEX22	I	+	42177	42719	1.478821	173.795166	341.303986
YAL054C	ACS1	I	-	42881	45022	0.000000	0.000000	0.000000
YAL053W	FLC2	I	+	45899	48250	11.600462	1363.318604	2677.324707
YAL051W	OAF1	I	+	48564	51707	3.911157	459.650085	902.674133
YAL049C	AIM2	I	-	51855	52595	9.703105	1140.335938	2239.424805
YAL048C	GEM1	I	-	52801	54789	2.354056	276.655212	543.303528
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	2.226946	261.716919	513.967224
YAL046C	AIM1	I	-	57029	57385	2.651736	311.639435	612.006531
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	7.206737	846.955811	1663.276367
YAL044C	GCV3	I	-	57950	58462	28.167641	3310.339844	6500.940918
YAL043C	PTA1	I	-	58695	61052	5.842663	686.646057	1348.455444
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	24.547876	2884.935059	5665.518555
YAL041W	CDC24	I	+	62840	65404	5.549707	652.217041	1280.842773
YAL040C	CLN3	I	-	65778	67520	5.483907	644.484070	1265.656494
YAL039C	CYC3	I	-	68716	69525	5.192593	610.247986	1198.422729
YAL038W	CDC19	I	+	71786	73288	913.113770	107311.671875	210741.781250
YAL037C-B	YAL037C-B	I	-	72326	73300	7.190661	845.066589	1659.566162
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.322450	155.418015	305.214386
YAL036C	RBG1	I	-	75043	76152	13.763063	1617.473633	3176.441406
YAL035W	FUN12	I	+	76427	79435	29.408607	3456.181641	6787.349609
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	2.957471	347.570251	682.568481
YAL034C	FUN19	I	-	80710	81951	3.709340	435.932007	856.095825
YAL033W	POP5	I	+	82706	83227	5.334291	626.900757	1231.125854
YAL032C	PRP45	I	-	83335	84474	3.648684	428.803528	842.096802
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	3.371660	396.246887	778.161133
YAL030W	SNC1	I	+	87286	87752	13.203390	1551.699341	3047.271973
YAL029C	MYO4	I	-	87855	92270	8.279314	973.008057	1910.821411
YAL028W	FRT2	I	+	92900	94486	1.281037	150.551041	295.656494
YAL027W	SAW1	I	+	94687	95472	2.551345	299.841217	588.836792
YAL026C-A	YAL026C-A	I	-	95386	95823	5.760863	677.032654	1329.576416
YAL026C	DRS2	I	-	95630	99697	7.696629	904.529358	1776.340820
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	6.294246	739.717407	1452.678345
YAL024C	LTE1	I	-	101565	105872	2.353760	276.620453	543.235229
YAL023C	PMT2	I	-	106272	108551	30.135382	3541.594238	6955.084961
YAL022C	FUN26	I	-	108877	110430	5.649292	663.920532	1303.826416
YAL021C	CCR4	I	-	110846	113359	8.194511	963.041870	1891.249512
YAL020C	ATS1	I	-	113614	114615	2.071898	243.495239	478.182983
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	7.250000	852.040222	1673.261230
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	5.486082	644.739685	1266.158447
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	17.592587	2067.529785	4060.274902
YAL015C	NTG1	I	-	126903	128102	2.355833	276.864075	543.713684
YAL014C	SYN8	I	-	128252	129019	5.535156	650.506958	1277.484375
YAL013W	DEP1	I	+	129270	130487	2.998361	352.375763	692.005676
YAL012W	CYS3	I	+	130799	131983	48.703377	5723.756836	11240.478516
YAL011W	SWC3	I	+	132199	134076	2.029821	238.550217	468.471802
YAL010C	MDM10	I	-	134184	135665	2.404858	282.625641	555.028381
YAL009W	SPO7	I	+	135854	136633	2.734004	321.307770	630.993530
YAL008W	FUN14	I	+	136914	137510	5.189280	609.858704	1197.658081
YAL007C	ERP2	I	-	137698	138345	24.649691	2896.900391	5689.016602
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	675.234192	79355.406250	155840.437500
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	288.803528	33940.996094	66654.312500
snR18	snR18	I	+	142367	142468	10.970589	1289.294312	2531.953369
YAL002W	VPS8	I	+	143707	147531	2.184886	256.773895	504.260010
YAL001C	TFC3	I	-	147594	151166	3.417761	401.664825	788.800964
YAR002W	NUP60	I	+	152257	153876	7.902778	928.756592	1823.918945
YAR002C-A	ERP1	I	-	154065	154724	26.101515	3067.522705	6024.089844
YAR003W	SWD1	I	+	155005	156285	2.787178	327.556946	643.265808
YAR007C	RFA1	I	-	156754	158619	7.193462	845.395691	1660.212646
YAR008W	SEN34	I	+	158966	159793	2.617150	307.574768	604.024231
YAR009C	YAR009C	I	-	160597	164187	925.658325	108785.945312	213636.984375
YAR010C	YAR010C	I	-	164544	165866	939.466736	110408.757812	216823.906250
