ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	3	3	0	0	8.26446280991735	174.957402246488	3	3	0	0	8.26446280991735	174.957402246488
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	1	1	0	0	0.561167227833894	11.8798236093294	1	1	0	0	0.561167227833894	11.8798236093294
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	1	1	0	0	2.58397932816537	54.7024435964472	0	0	NA	0	0	0
YAL064W-B	381	1	1	0	0	2.6246719160105	55.5638994011156	1	1	0	0	2.6246719160105	55.5638994011156
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C-A	291	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C	3969	7	7	0	0	1.7636684303351	37.3365884864639	3	3	0	0	0.755857898715041	16.0013950656274
YAL062W	1374	5	5	0	0	3.63901018922853	77.0372841041668	5	5	0	0	3.63901018922853	77.0372841041668
YAL061W	1254	32	32	0	0	25.518341307815	540.219347287402	32	32	0	0	25.518341307815	540.219347287402
YAL060W	1149	54	54	0	0	46.9973890339426	994.927472827287	54	54	0	0	46.9973890339426	994.927472827287
YAL059C-A	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL059W	639	24	24	0	0	37.5586854460094	795.111574528641	24	24	0	0	37.5586854460094	795.111574528641
YAL058W	1509	25	25	0	0	16.5672630881378	350.726402780402	25	25	0	0	16.5672630881378	350.726402780402
YAL056C-A	351	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL056W	2643	62	62	0	0	23.4581914491109	496.606292717803	62	62	0	0	23.4581914491109	496.606292717803
YAL055W	543	9	9	0	0	16.5745856353591	350.881419975001	9	9	0	0	16.5745856353591	350.881419975001
YAL054C	2142	6	6	0	0	2.80112044817927	59.2992875961486	6	6	0	0	2.80112044817927	59.2992875961486
YAL053W	2352	125	123	0.016	2	53.1462585034014	1125.09809055193	121	119	0.0165289256198347	2	51.4455782312925	1089.09495165426
YAL051W	3144	41	41	0	0	13.0407124681934	276.069870402299	40	40	0	0	12.7226463104326	269.336458929072
YAL049C	741	43	43	0	0	58.029689608637	1228.47957339875	41	41	0	0	55.3306342780027	1171.34098858951
YAL048C	1989	21	21	0	0	10.5580693815988	223.512699400868	21	21	0	0	10.5580693815988	223.512699400868
YAL047W-A	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL047C	1869	21	21	0	0	11.2359550561798	237.863434514888	21	21	0	0	11.2359550561798	237.863434514888
YAL046C	357	4	4	0	0	11.2044817927171	237.197150384594	4	4	0	0	11.2044817927171	237.197150384594
YAL045C	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL044W-A	333	12	12	0	0	36.036036036036	762.877321507209	12	12	0	0	36.036036036036	762.877321507209
YAL044C	513	49	48	0.0204081632653061	1	95.5165692007797	2022.0710290827	49	48	0.0204081632653061	1	95.5165692007797	2022.0710290827
YAL043C	2358	72	72	0	0	30.5343511450382	646.407501429773	72	72	0	0	30.5343511450382	646.407501429773
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL042W	1248	161	159	0.0124223602484472	2	129.00641025641	2731.04579580435	161	159	0.0124223602484472	2	129.00641025641	2731.04579580435
YAL041W	2565	70	70	0	0	27.2904483430799	577.734579737916	70	70	0	0	27.2904483430799	577.734579737916
YAL040C	1743	38	38	0	0	21.8014916810098	461.534214302554	38	38	0	0	21.8014916810098	461.534214302554
YAL039C	810	13	13	0	0	16.0493827160494	339.762955226822	13	13	0	0	16.0493827160494	339.762955226822
YAL038W	1503	6254	5400	0.136552606331948	854	4161.01131071191	88087.9672864896	6240	5386	0.136858974358974	854	4151.69660678643	87890.7764419084
YAL037C-B	975	1	1	0	0	1.02564102564103	21.7126622275129	1	1	0	0	1.02564102564103	21.7126622275129
YAL037C-A	93	1	1	0	0	10.752688172043	227.632749159409	1	1	0	0	10.752688172043	227.632749159409
YAL037W	804	6	6	0	0	7.46268656716418	157.983922924068	6	6	0	0	7.46268656716418	157.983922924068
YAL036C	1110	68	68	0	0	61.2612612612613	1296.89144656226	66	66	0	0	59.4594594594595	1258.7475804869
YAL035W	3009	434	432	0.00460829493087558	2	144.23396477235	3053.41077486609	428	426	0.00467289719626168	2	142.239946826188	3011.197722679
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	9	9	0	0	10.3448275862069	218.998403501638	9	9	0	0	10.3448275862069	218.998403501638
YAL034C	1242	22	22	0	0	17.7133655394525	374.989214798833	22	22	0	0	17.7133655394525	374.989214798833
YAL033W	522	13	13	0	0	24.904214559387	527.218378800241	13	13	0	0	24.904214559387	527.218378800241
YAL032C	1140	17	17	0	0	14.9122807017544	315.690681071075	17	17	0	0	14.9122807017544	315.690681071075
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	43	43	0	0	18.8348664038546	398.731215019044	41	41	0	0	17.9588261060009	380.185577111181
YAL030W	354	19	19	0	0	53.6723163841808	1136.23465470247	19	19	0	0	53.6723163841808	1136.23465470247
YAL029C	4416	187	187	0	0	42.3460144927536	896.458591628461	187	187	0	0	42.3460144927536	896.458591628461
YAL028W	1587	9	9	0	0	5.6710775047259	120.055835568006	9	9	0	0	5.6710775047259	120.055835568006
YAL027W	786	12	12	0	0	15.2671755725191	323.203750714886	12	12	0	0	15.2671755725191	323.203750714886
YAL026C-A	438	9	9	0	0	20.5479452054795	434.996828873118	9	9	0	0	20.5479452054795	434.996828873118
YAL026C	4068	124	124	0	0	30.4818092428712	645.295197469593	124	124	0	0	30.4818092428712	645.295197469593
HRA1	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL025C	921	24	24	0	0	26.0586319218241	551.65721620391	24	24	0	0	26.0586319218241	551.65721620391
YAL024C	4308	51	51	0	0	11.8384401114206	250.617950153918	51	51	0	0	11.8384401114206	250.617950153918
YAL023C	2280	339	334	0.0147492625368732	5	148.684210526316	3147.62179067925	339	334	0.0147492625368732	5	148.684210526316	3147.62179067925
YAL022C	1554	44	44	0	0	28.3140283140283	599.403609755664	44	44	0	0	28.3140283140283	599.403609755664
YAL021C	2514	121	121	0	0	48.1304693715195	1018.91460870757	121	121	0	0	48.1304693715195	1018.91460870757
YAL020C	1002	14	14	0	0	13.9720558882236	295.786266871807	14	14	0	0	13.9720558882236	295.786266871807
YAL019W-A	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL019W	3396	107	107	0	0	31.5076560659599	667.012216397315	105	105	0	0	30.9187279151943	654.544698333813
YAL018C	978	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL017W	4071	110	110	0	0	27.0203881110292	572.017446303305	107	107	0	0	26.2834684352739	556.416970495033
YAL016C-B	186	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016C-A	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016W	1908	160	159	0.00625	1	83.8574423480084	1775.2491129413	160	159	0.00625	1	83.8574423480084	1775.2491129413
YAL015C	1200	14	14	0	0	11.6666666666667	246.981532837959	14	14	0	0	11.6666666666667	246.981532837959
YAL014C	768	19	19	0	0	24.7395833333333	523.733161151922	19	19	0	0	24.7395833333333	523.733161151922
YAL013W	1218	11	11	0	0	9.0311986863711	191.189082422065	11	11	0	0	9.0311986863711	191.189082422065
YAL012W	1185	312	305	0.0224358974358974	7	263.291139240506	5573.83278448052	310	303	0.0225806451612903	7	261.603375527426	5538.10308714411
YAL011W	1878	13	13	0	0	6.92225772097977	146.543127653741	13	13	0	0	6.92225772097977	146.543127653741
YAL010C	1482	16	16	0	0	10.7962213225371	228.554339236978	14	14	0	0	9.44669365721997	199.985046832355
YAL009W	780	22	22	0	0	28.2051282051282	597.098211256604	22	22	0	0	28.2051282051282	597.098211256604
YAL008W	597	17	17	0	0	28.4757118927973	602.826426165872	17	17	0	0	28.4757118927973	602.826426165872
YAL007C	648	74	74	0	0	114.197530864198	2417.54410449854	74	74	0	0	114.197530864198	2417.54410449854
tP(UGG)A	72	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL005C	1929	6461	5659	0.124129391735026	802	3349.40383618455	70906.3623046458	6388	5588	0.125234815278647	800	3311.56039398652	70105.2224736228
YAL004W	648	1	1	0	0	1.54320987654321	32.6695149256559	1	1	0	0	1.54320987654321	32.6695149256559
YAL003W	621	856	803	0.0619158878504673	53	1378.42190016103	29180.9788970729	854	801	0.0620608899297424	53	1375.20128824477	29112.7990398367
snR18	102	5	4	0.2	1	49.0196078431373	1037.7375329326	5	4	0.2	1	49.0196078431373	1037.7375329326
YAL002W	3825	39	39	0	0	10.1960784313726	215.849406849981	39	39	0	0	10.1960784313726	215.849406849981
YAL001C	3483	56	56	0	0	16.0780935974734	340.370760155671	56	56	0	0	16.0780935974734	340.370760155671
YAR002W	1620	67	67	0	0	41.358024691358	875.543000007579	67	67	0	0	41.358024691358	875.543000007579
YAR002C-A	660	91	91	0	0	137.878787878788	2918.87266081224	89	89	0	0	134.848484848485	2854.72161332186
YAR003W	1281	30	30	0	0	23.4192037470726	495.780929082554	30	30	0	0	23.4192037470726	495.780929082554
YAR007C	1866	66	66	0	0	35.3697749196142	748.77267649542	66	66	0	0	35.3697749196142	748.77267649542
YAR008W	828	14	14	0	0	16.9082125603865	357.944250489796	14	14	0	0	16.9082125603865	357.944250489796
YAR009C	3591	17930	15235	0.150306748466258	2695	4993.03815093289	105701.847088784	17501	14832	0.152505571110222	2669	4873.57282094124	103172.784489727
YAR010C	1323	7511	6420	0.145253628012249	1091	5677.24867724868	120186.478337927	7210	6139	0.148543689320388	1071	5449.73544973545	115370.058423174
tA(UGC)A	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YAR014C	2130	65	65	0	0	30.5164319248826	646.02815430452	65	65	0	0	30.5164319248826	646.02815430452
YAR015W	921	65	65	0	0	70.5754614549403	1494.07162721892	65	65	0	0	70.5754614549403	1494.07162721892
YAR018C	1308	25	25	0	0	19.1131498470948	404.622432565464	25	25	0	0	19.1131498470948	404.622432565464
