Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.000000	0.000000	0.000000
YAL068W-A	YAL068W-A	I	+	538	792	0.000000	0.000000	0.000000
YAL068C	PAU8	I	-	1807	2169	1.134986	138.030365	337.432312
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	0.000000	0.000000	0.000000
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.000000	0.000000	0.000000
YAL062W	GDH3	I	+	31567	32940	0.000000	0.000000	0.000000
YAL061W	BDH2	I	+	33448	34701	4.182082	508.600433	1243.336548
YAL060W	BDH1	I	+	35155	36303	7.742820	941.636536	2301.947021
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	5.414711	658.505493	1609.798218
YAL058W	CNE1	I	+	37464	38972	2.605923	316.917114	774.743103
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	3.898978	474.170959	1159.169434
YAL055W	PEX22	I	+	42177	42719	2.303867	280.182861	684.941589
YAL054C	ACS1	I	-	42881	45022	0.000000	0.000000	0.000000
YAL053W	FLC2	I	+	45899	48250	8.182188	995.069946	2432.571533
YAL051W	OAF1	I	+	48564	51707	2.000636	243.305695	594.790833
YAL049C	AIM2	I	-	51855	52595	8.186910	995.644165	2433.975098
YAL048C	GEM1	I	-	52801	54789	1.686275	205.074905	501.330994
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.755484	213.491714	521.906860
YAL046C	AIM1	I	-	57029	57385	1.554622	189.064056	462.190430
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	4.924925	598.940613	1464.184326
YAL044C	GCV3	I	-	57950	58462	13.306043	1618.203125	3955.897949
YAL043C	PTA1	I	-	58695	61052	4.739610	576.403687	1409.090088
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	19.532652	2375.447266	5807.073730
YAL041W	CDC24	I	+	62840	65404	4.308382	523.960266	1280.885620
YAL040C	CLN3	I	-	65778	67520	3.552081	431.983368	1056.036743
YAL039C	CYC3	I	-	68716	69525	2.196296	267.100677	652.960632
YAL038W	CDC19	I	+	71786	73288	656.841980	79881.281250	195279.671875
YAL037C-B	YAL037C-B	I	-	72326	73300	3.987197	484.899597	1185.397095
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.283271	156.063919	381.517548
YAL036C	RBG1	I	-	75043	76152	8.678266	1055.400024	2580.055908
YAL035W	FUN12	I	+	76427	79435	22.896809	2784.576172	6807.240234
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.642529	199.754791	488.325256
YAL034C	FUN19	I	-	80710	81951	2.148953	261.343140	638.885559
YAL033W	POP5	I	+	82706	83227	4.045019	491.931610	1202.587646
YAL032C	PRP45	I	-	83335	84474	2.711404	329.745117	806.102722
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	2.878230	350.033539	855.700195
YAL030W	SNC1	I	+	87286	87752	8.364407	1017.230286	2486.745117
YAL029C	MYO4	I	-	87855	92270	6.476364	787.617615	1925.428467
YAL028W	FRT2	I	+	92900	94486	0.000000	0.000000	0.000000
YAL027W	SAW1	I	+	94687	95472	2.218407	269.789703	659.534302
YAL026C-A	YAL026C-A	I	-	95386	95823	4.415930	537.039612	1312.859741
YAL026C	DRS2	I	-	95630	99697	5.065795	616.072388	1506.065186
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	3.865364	470.083008	1149.176025
YAL024C	LTE1	I	-	101565	105872	1.965094	238.983261	584.224121
YAL023C	PMT2	I	-	106272	108551	23.464474	2853.612305	6976.007812
YAL022C	FUN26	I	-	108877	110430	4.604448	559.966064	1368.906250
YAL021C	CCR4	I	-	110846	113359	7.216786	877.663391	2145.556641
YAL020C	ATS1	I	-	113614	114615	1.995010	242.621475	593.118164
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	5.043875	613.406677	1499.548340
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.301932	523.175842	1278.968018
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	13.134434	1597.333130	3904.878418
YAL015C	NTG1	I	-	126903	128102	1.607500	195.494751	477.911102
YAL014C	SYN8	I	-	128252	129019	3.416667	415.515076	1015.778015
YAL013W	DEP1	I	+	129270	130487	1.502053	182.670914	446.561615
YAL012W	CYS3	I	+	130799	131983	39.064980	4750.854980	11614.051758
YAL011W	SWC3	I	+	132199	134076	1.111106	135.126236	330.332764
YAL010C	MDM10	I	-	134184	135665	1.326586	161.331635	394.395142
YAL009W	SPO7	I	+	135854	136633	3.720513	452.467072	1106.111694
YAL008W	FUN14	I	+	136914	137510	4.487437	545.735840	1334.118774
YAL007C	ERP2	I	-	137698	138345	16.027784	1949.205566	4765.073730
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	530.778931	64550.234375	157801.031250
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	199.529785	24265.648438	59320.375000
snR18	snR18	I	+	142367	142468	5.843137	710.608215	1737.169556
YAL002W	VPS8	I	+	143707	147531	1.478693	179.830002	439.616669
YAL001C	TFC3	I	-	147594	151166	2.750790	334.535034	817.812195
YAR002W	NUP60	I	+	152257	153876	6.201234	754.157837	1843.632080
YAR002C-A	ERP1	I	-	154065	154724	20.416666	2482.955566	6069.892090
YAR003W	SWD1	I	+	155005	156285	3.584699	435.950134	1065.734009
YAR007C	RFA1	I	-	156754	158619	5.403269	657.113953	1606.396484
YAR008W	SEN34	I	+	158966	159793	2.159420	262.616028	641.997375
YAR009C	YAR009C	I	-	160597	164187	759.116699	92319.343750	225686.031250
YAR010C	YAR010C	I	-	164544	165866	804.719971	97865.343750	239243.937500
